Latitud,Longitud
-41.25,-60.75
-41.25,-61.25
-41.25,-61.75
-41.25,-62.25
-41.25,-62.75
-41.25,-63.25
-41.25,-63.75
-41.25,-64.25
-41.25,-64.75
-41.25,-65.25
-41.25,-65.75
-41.25,-66.25
-41.25,-66.75
-41.25,-67.25
-41.25,-67.75
-41.25,-68.25
-41.25,-68.75
-41.75,-55.25
-41.75,-55.75
-41.75,-56.25
-41.75,-56.75
-41.75,-57.25
-41.75,-57.75
-41.75,-58.25
-41.75,-58.75
-41.75,-59.25
-41.75,-59.75
-41.75,-60.25
-41.75,-60.75
-41.75,-61.25
-41.75,-61.75
-41.75,-62.25
-41.75,-62.75
-41.75,-63.25
-41.75,-63.75
-41.75,-64.25
-41.75,-64.75
-41.75,-65.25
-41.75,-65.75
-41.75,-66.25
-41.75,-66.75
-41.75,-67.25
-41.75,-67.75
-41.75,-68.25
-41.75,-68.75
-42.25,-55.25
-42.25,-55.75
-42.25,-56.25
-42.25,-56.75
-42.25,-57.25
-42.25,-57.75
-42.25,-58.25
-42.25,-58.75
-42.25,-59.25
-42.25,-59.75
-42.25,-60.25
-42.25,-60.75
-42.25,-61.25
-42.25,-61.75
-42.25,-62.25
-42.25,-62.75
-42.25,-63.25
-42.25,-63.75
-42.25,-64.25
-42.25,-64.75
-42.25,-65.25
-42.25,-65.75
-42.25,-66.25
-42.25,-66.75
-42.25,-67.25
-42.25,-67.75
-42.25,-68.25
-42.25,-68.75
-42.75,-55.25
-42.75,-55.75
-42.75,-56.25
-42.75,-56.75
-42.75,-57.25
-42.75,-57.75
-42.75,-58.25
-42.75,-58.75
-42.75,-59.25
-42.75,-59.75
-42.75,-60.25
-42.75,-60.75
-42.75,-61.25
-42.75,-61.75
-42.75,-62.25
-42.75,-62.75
-42.75,-63.25
-42.75,-63.75
-42.75,-64.25
-42.75,-64.75
-42.75,-65.25
-42.75,-65.75
-42.75,-66.25
-42.75,-66.75
-42.75,-67.25
-42.75,-67.75
-42.75,-68.25
-42.75,-68.75
-43.25,-55.25
-43.25,-55.75
-43.25,-56.25
-43.25,-56.75
-43.25,-57.25
-43.25,-57.75
-43.25,-58.25
-43.25,-58.75
-43.25,-59.25
-43.25,-59.75
-43.25,-60.25
-43.25,-60.75
-43.25,-61.25
-43.25,-61.75
-43.25,-62.25
-43.25,-62.75
-43.25,-63.25
-43.25,-63.75
-43.25,-64.25
-43.25,-64.75
-43.25,-65.25
-43.25,-65.75
-43.25,-66.25
-43.25,-66.75
-43.25,-67.25
-43.25,-67.75
-43.25,-68.25
-43.25,-68.75
-43.75,-55.25
-43.75,-55.75
-43.75,-56.25
-43.75,-56.75
-43.75,-57.25
-43.75,-57.75
-43.75,-58.25
-43.75,-58.75
-43.75,-59.25
-43.75,-59.75
-43.75,-60.25
-43.75,-60.75
-43.75,-61.25
-43.75,-61.75
-43.75,-62.25
-43.75,-62.75
-43.75,-63.25
-43.75,-63.75
-43.75,-64.25
-43.75,-64.75
-43.75,-65.25
-43.75,-65.75
-43.75,-66.25
-43.75,-66.75
-43.75,-67.25
-43.75,-67.75
-43.75,-68.25
-43.75,-68.75
-44.25,-55.25
-44.25,-55.75
-44.25,-56.25
-44.25,-56.75
-44.25,-57.25
-44.25,-57.75
-44.25,-58.25
-44.25,-58.75
-44.25,-59.25
-44.25,-59.75
-44.25,-60.25
-44.25,-60.75
-44.25,-61.25
-44.25,-61.75
-44.25,-62.25
-44.25,-62.75
-44.25,-63.25
-44.25,-63.75
-44.25,-64.25
-44.25,-64.75
-44.25,-65.25
-44.25,-65.75
-44.25,-66.25
-44.25,-66.75
-44.25,-67.25
-44.25,-67.75
-44.25,-68.25
-44.25,-68.75
-44.75,-55.25
-44.75,-55.75
-44.75,-56.25
-44.75,-56.75
-44.75,-57.25
-44.75,-57.75
-44.75,-58.25
-44.75,-58.75
-44.75,-59.25
-44.75,-59.75
-44.75,-60.25
-44.75,-60.75
-44.75,-61.25
-44.75,-61.75
-44.75,-62.25
-44.75,-62.75
-44.75,-63.25
-44.75,-63.75
-44.75,-64.25
-44.75,-64.75
-44.75,-65.25
-44.75,-65.75
-44.75,-66.25
-44.75,-66.75
-44.75,-67.25
-44.75,-67.75
-44.75,-68.25
-44.75,-68.75
-45.25,-55.25
-45.25,-55.75
-45.25,-56.25
-45.25,-56.75
-45.25,-57.25
-45.25,-57.75
-45.25,-58.25
-45.25,-58.75
-45.25,-59.25
-45.25,-59.75
-45.25,-60.25
-45.25,-60.75
-45.25,-61.25
-45.25,-61.75
-45.25,-62.25
-45.25,-62.75
-45.25,-63.25
-45.25,-63.75
-45.25,-64.25
-45.25,-64.75
-45.25,-65.25
-45.25,-65.75
-45.25,-66.25
-45.25,-66.75
-45.25,-67.25
-45.25,-67.75
-45.25,-68.25
-45.25,-68.75
-45.75,-55.25
-45.75,-55.75
-45.75,-56.25
-45.75,-56.75
-45.75,-57.25
-45.75,-57.75
-45.75,-58.25
-45.75,-58.75
-45.75,-59.25
-45.75,-59.75
-45.75,-60.25
-45.75,-60.75
-45.75,-61.25
-45.75,-61.75
-45.75,-62.25
-45.75,-62.75
-45.75,-63.25
-45.75,-63.75
-45.75,-64.25
-45.75,-64.75
-45.75,-65.25
-45.75,-65.75
-45.75,-66.25
-45.75,-66.75
-45.75,-67.25
-45.75,-67.75
-45.75,-68.25
-45.75,-68.75
-46.25,-55.25
-46.25,-55.75
-46.25,-56.25
-46.25,-56.75
-46.25,-57.25
-46.25,-57.75
-46.25,-58.25
-46.25,-58.75
-46.25,-59.25
-46.25,-59.75
-46.25,-60.25
-46.25,-60.75
-46.25,-61.25
-46.25,-61.75
-46.25,-62.25
-46.25,-62.75
-46.25,-63.25
-46.25,-63.75
-46.25,-64.25
-46.25,-64.75
-46.25,-65.25
-46.25,-65.75
-46.25,-66.25
-46.25,-66.75
-46.25,-67.25
-46.25,-67.75
-46.25,-68.25
-46.25,-68.75
-46.75,-55.25
-46.75,-55.75
-46.75,-56.25
-46.75,-56.75
-46.75,-57.25
-46.75,-57.75
-46.75,-58.25
-46.75,-58.75
-46.75,-59.25
-46.75,-59.75
-46.75,-60.25
-46.75,-60.75
-46.75,-61.25
-46.75,-61.75
-46.75,-62.25
-46.75,-62.75
-46.75,-63.25
-46.75,-63.75
-46.75,-64.25
-46.75,-64.75
-46.75,-65.25
-46.75,-65.75
-46.75,-66.25
-46.75,-66.75
-46.75,-67.25
-46.75,-67.75
-46.75,-68.25
-46.75,-68.75
-47.25,-55.25
-47.25,-55.75
-47.25,-56.25
-47.25,-56.75
-47.25,-57.25
-47.25,-57.75
-47.25,-58.25
-47.25,-58.75
-47.25,-59.25
-47.25,-59.75
-47.25,-60.25
-47.25,-60.75
-47.25,-61.25
-47.25,-61.75
-47.25,-62.25
-47.25,-62.75
-47.25,-63.25
-47.25,-63.75
-47.25,-64.25
-47.25,-64.75
-47.25,-65.25
-47.25,-65.75
-47.25,-66.25
-47.25,-66.75
-47.25,-67.25
-47.25,-67.75
-47.25,-68.25
-47.25,-68.75
-47.75,-55.25
-47.75,-55.75
-47.75,-56.25
-47.75,-56.75
-47.75,-57.25
-47.75,-57.75
-47.75,-58.25
-47.75,-58.75
-47.75,-59.25
-47.75,-59.75
-47.75,-60.25
-47.75,-60.75
-47.75,-61.25
-47.75,-61.75
-47.75,-62.25
-47.75,-62.75
-47.75,-63.25
-47.75,-63.75
-47.75,-64.25
-47.75,-64.75
-47.75,-65.25
-47.75,-65.75
-47.75,-66.25
-47.75,-66.75
-47.75,-67.25
-47.75,-67.75
-47.75,-68.25
-47.75,-68.75
-48.25,-55.25
-48.25,-55.75
-48.25,-56.25
-48.25,-56.75
-48.25,-57.25
-48.25,-57.75
-48.25,-58.25
-48.25,-58.75
-48.25,-59.25
-48.25,-59.75
-48.25,-60.25
-48.25,-60.75
-48.25,-61.25
-48.25,-61.75
-48.25,-62.25
-48.25,-62.75
-48.25,-63.25
-48.25,-63.75
-48.25,-64.25
-48.25,-64.75
-48.25,-65.25
-48.25,-65.75
-48.25,-66.25
-48.25,-66.75
-48.25,-67.25
-48.25,-67.75
-48.25,-68.25
-48.25,-68.75
-48.75,-55.25
-48.75,-55.75
-48.75,-56.25
-48.75,-56.75
-48.75,-57.25
-48.75,-57.75
-48.75,-58.25
-48.75,-58.75
-48.75,-59.25
-48.75,-59.75
-48.75,-60.25
-48.75,-60.75
-48.75,-61.25
-48.75,-61.75
-48.75,-62.25
-48.75,-62.75
-48.75,-63.25
-48.75,-63.75
-48.75,-64.25
-48.75,-64.75
-48.75,-65.25
-48.75,-65.75
-48.75,-66.25
-48.75,-66.75
-48.75,-67.25
-48.75,-67.75
-48.75,-68.25
-48.75,-68.75
-49.25,-55.25
-49.25,-55.75
-49.25,-56.25
-49.25,-56.75
-49.25,-57.25
-49.25,-57.75
-49.25,-58.25
-49.25,-58.75
-49.25,-59.25
-49.25,-59.75
-49.25,-60.25
-49.25,-60.75
-49.25,-61.25
-49.25,-61.75
-49.25,-62.25
-49.25,-62.75
-49.25,-63.25
-49.25,-63.75
-49.25,-64.25
-49.25,-64.75
-49.25,-65.25
-49.25,-65.75
-49.25,-66.25
-49.25,-66.75
-49.25,-67.25
-49.25,-67.75
-49.25,-68.25
-49.25,-68.75
-49.75,-55.25
-49.75,-55.75
-49.75,-56.25
-49.75,-56.75
-49.75,-57.25
-49.75,-57.75
-49.75,-58.25
-49.75,-58.75
-49.75,-59.25
-49.75,-59.75
-49.75,-60.25
-49.75,-60.75
-49.75,-61.25
-49.75,-61.75
-49.75,-62.25
-49.75,-62.75
-49.75,-63.25
-49.75,-63.75
-49.75,-64.25
-49.75,-64.75
-49.75,-65.25
-49.75,-65.75
-49.75,-66.25
-49.75,-66.75
-49.75,-67.25
-49.75,-67.75
-49.75,-68.25
-49.75,-68.75
-50.25,-55.25
-50.25,-55.75
-50.25,-56.25
-50.25,-56.75
-50.25,-57.25
-50.25,-57.75
-50.25,-58.25
-50.25,-58.75
-50.25,-59.25
-50.25,-59.75
-50.25,-60.25
-50.25,-60.75
-50.25,-61.25
-50.25,-61.75
-50.25,-62.25
-50.25,-62.75
-50.25,-63.25
-50.25,-63.75
-50.25,-64.25
-50.25,-64.75
-50.25,-65.25
-50.25,-65.75
-50.25,-66.25
-50.25,-66.75
-50.25,-67.25
-50.25,-67.75
-50.25,-68.25
-50.25,-68.75
-50.75,-55.25
-50.75,-55.75
-50.75,-56.25
-50.75,-56.75
-50.75,-57.25
-50.75,-57.75
-50.75,-58.25
-50.75,-58.75
-50.75,-59.25
-50.75,-59.75
-50.75,-60.25
-50.75,-60.75
-50.75,-61.25
-50.75,-61.75
-50.75,-62.25
-50.75,-62.75
-50.75,-63.25
-50.75,-63.75
-50.75,-64.25
-50.75,-64.75
-50.75,-65.25
-50.75,-65.75
-50.75,-66.25
-50.75,-66.75
-50.75,-67.25
-50.75,-67.75
-50.75,-68.25
-50.75,-68.75
-51.25,-55.25
-51.25,-55.75
-51.25,-56.25
-51.25,-56.75
-51.25,-57.25
-51.25,-57.75
-51.25,-58.25
-51.25,-58.75
-51.25,-59.25
-51.25,-59.75
-51.25,-60.25
-51.25,-60.75
-51.25,-61.25
-51.25,-61.75
-51.25,-62.25
-51.25,-62.75
-51.25,-63.25
-51.25,-63.75
-51.25,-64.25
-51.25,-64.75
-51.25,-65.25
-51.25,-65.75
-51.25,-66.25
-51.25,-66.75
-51.25,-67.25
-51.25,-67.75
-51.25,-68.25
-51.25,-68.75
-51.75,-55.25
-51.75,-55.75
-51.75,-56.25
-51.75,-56.75
-51.75,-57.25
-51.75,-57.75
-51.75,-58.25
-51.75,-58.75
-51.75,-59.25
-51.75,-59.75
-51.75,-60.25
-51.75,-60.75
-51.75,-61.25
-51.75,-61.75
-51.75,-62.25
-51.75,-62.75
-51.75,-63.25
-51.75,-63.75
-51.75,-64.25
-51.75,-64.75
-51.75,-65.25
-51.75,-65.75
-51.75,-66.25
-51.75,-66.75
-51.75,-67.25
-51.75,-67.75
-51.75,-68.25
-51.75,-68.75
-52.25,-55.25
-52.25,-55.75
-52.25,-56.25
-52.25,-56.75
-52.25,-57.25
-52.25,-57.75
-52.25,-58.25
-52.25,-58.75
-52.25,-59.25
-52.25,-59.75
-52.25,-60.25
-52.25,-60.75
-52.25,-61.25
-52.25,-61.75
-52.25,-62.25
-52.25,-62.75
-52.25,-63.25
-52.25,-63.75
-52.25,-64.25
-52.25,-64.75
-52.25,-65.25
-52.25,-65.75
-52.25,-66.25
-52.25,-66.75
-52.25,-67.25
-52.25,-67.75
-52.25,-68.25
-52.25,-68.75
-52.75,-55.25
-52.75,-55.75
-52.75,-56.25
-52.75,-56.75
-52.75,-57.25
-52.75,-57.75
-52.75,-58.25
-52.75,-58.75
-52.75,-59.25
-52.75,-59.75
-52.75,-60.25
-52.75,-60.75
-52.75,-61.25
-52.75,-61.75
-52.75,-62.25
-52.75,-62.75
-52.75,-63.25
-52.75,-63.75
-52.75,-64.25
-52.75,-64.75
-52.75,-65.25
-52.75,-65.75
-52.75,-66.25
-52.75,-66.75
-52.75,-67.25
-52.75,-67.75
-52.75,-68.25
-52.75,-68.75
-53.25,-55.25
-53.25,-55.75
-53.25,-56.25
-53.25,-56.75
-53.25,-57.25
-53.25,-57.75
-53.25,-58.25
-53.25,-58.75
-53.25,-59.25
-53.25,-59.75
-53.25,-60.25
-53.25,-60.75
-53.25,-61.25
-53.25,-61.75
-53.25,-62.25
-53.25,-62.75
-53.25,-63.25
-53.25,-63.75
-53.25,-64.25
-53.25,-64.75
-53.25,-65.25
-53.25,-65.75
-53.25,-66.25
-53.25,-66.75
-53.25,-67.25
-53.25,-67.75
-53.25,-68.25
-53.25,-68.75
-53.75,-55.25
-53.75,-55.75
-53.75,-56.25
-53.75,-56.75
-53.75,-57.25
-53.75,-57.75
-53.75,-58.25
-53.75,-58.75
-53.75,-59.25
-53.75,-59.75
-53.75,-60.25
-53.75,-60.75
-53.75,-61.25
-53.75,-61.75
-53.75,-62.25
-53.75,-62.75
-53.75,-63.25
-53.75,-63.75
-53.75,-64.25
-53.75,-64.75
-53.75,-65.25
-53.75,-65.75
-53.75,-66.25
-53.75,-66.75
-53.75,-67.25
-53.75,-67.75
-53.75,-68.25
-53.75,-68.75
-54.25,-55.25
-54.25,-55.75
-54.25,-56.25
-54.25,-56.75
-54.25,-57.25
-54.25,-57.75
-54.25,-58.25
-54.25,-58.75
-54.25,-59.25
-54.25,-59.75
-54.25,-60.25
-54.25,-60.75
-54.25,-61.25
-54.25,-61.75
-54.25,-62.25
-54.25,-62.75
